element_id,name,group,obligation,datatype,occurrence,format,value_scheme,allowed_values,examples,maps_to,match_type,definition,curation_note
specimen_abs_status,Specimen ABS Status,Specimen,Curator-assigned,vocabulary encoding scheme,unique,,PTFI in-house vocabulary,1; 2; 3; 4,1; 3,,,"Access and Benefit-Sharing status under the Nagoya Protocol and national genetic-resource law, as an ordinal level.","Ordinal from the ABS vocabulary. Where the level indicates clearance is needed, publication is blocked until ethical/legal sign-off."
sample_id,Sample ID,Sample,Curator-assigned,uuid,unique,,UUID / GUID (RFC 9562),,PTFI:SMP:9c752d22-b09a,,,"Persistent, globally unique identifier for the sample. Should resolve via a PTFI base URL.",Assigned by the curator; links the analysed material to its specimen.
study_sample_identifier,Study Sample Identifier,Sample,Required,string,unique,"Unique alphanumeric, no extra spaces",,,SMP-00194,dwc:otherCatalogNumbers,close,Human-facing identifier for the sample within a study.,"Valid, unique, no stray spaces."
sample_food_product_name,Sample Food Product Name,Sample,Required,string,unique,"lowercase, singular",,,pickled beet root; beet greens,,,Food-product name as recorded by the laboratory; may differ from the specimen when the sample is a specific part or process (e.g. beet greens vs. beet root).,"Present, lowercase, singular, spelling verified."
sample_common_name,Sample Common Name,Sample,Optional,string,multiple,,,,elote; choclo; mazorca,dwc:vernacularName,close,Vernacular name(s) for the sample as used locally. Pair each with a language tag.,Optional; tag each name with its BCP 47 language.
sample_food_product_iri,Sample Food Product IRI,Sample,Curator-assigned,IRI,unique,,FoodOn (OLS),,http://purl.obolibrary.org/obo/FOODON_03309552,dcterms:subject,close,FoodOn IRI for the sample's food-product form; may equal the specimen IRI when preparation and processing are identical.,"Same procedure as the specimen IRI, using the sample's name, preparation, and method."
sample_lab_location,Sample Lab Location,Sample,Required,string,unique,,,,ETH Zurich,,,Laboratory responsible for preparing or analysing the sample.,"Present and correctly spelled; if missing, query the author."
sample_preparer_name,Sample Preparer Name,Sample,Required,string,unique,,,,Angela Fernando,,,Name of the person who prepared the sample in the lab.,Present and correctly spelled.
sample_preparation_date,Sample Preparation Date,Sample,Required,date,unique,YYYY-MM-DD,ISO 8601-1,,2024-04-02 00:00:00,,,Date on which the sample was prepared.,"ISO 8601 format. If unknown, leave null and flag the row — never write a placeholder string into the date field."
sample_preparation,Sample Preparation,Sample,Required,vocabulary encoding scheme,multiple,,PTFI in-house vocabulary,same as specimen; cooked; processed; unknown,same as specimen; processed,dwc:preparations,close,Preparation state of the sample.,"If unchanged from the specimen, select 'same as specimen'. Occurrence is multiple."
sample_preparation_method,Sample Preparation Method,Sample,Conditional,vocabulary encoding scheme,multiple,,PTFI in-house vocabulary,boiled; fried; steamed; grilled; en papillote; fermented; smoked; dried; canned; ground; low or reduced fat; pasteurized; fresh frozen; hulled; dehydrated; enriched or fortified; pressure cooked; roasted; sautéed; other; unknown,ground,,,Method(s) used to prepare the sample when cooked or processed (shares the preparation-method vocabulary).,Encode all applicable methods. Required when preparation is cooked or processed.
sample_laboratory_processing,Sample Laboratory Processing,Sample,Required,vocabulary encoding scheme,multiple,,PTFI in-house vocabulary,lyophilized or freeze-dried; fresh frozen,lyophilized or freeze-dried,,,How the sample was processed in the lab prior to freezer storage.,Select from the lab-processing vocabulary.
sample_wet_weight,Sample Wet Weight,Sample,Required,float,unique,"grams [UO:0000021], positive",Unit Ontology (UO),,152.4,,,"Wet (fresh) weight of the sample in grams, after inedible parts are removed.","Required; positive. If blank, query the author."
sample_dry_weight,Sample Dry Weight,Sample,Conditional,float,unique,"grams [UO:0000021], positive",Unit Ontology (UO),,28.9,,,"Weight of the sample after drying, in grams.",Present where applicable; positive value.
curation_status,Curation Status,Sample,Curator-assigned,vocabulary encoding scheme,unique,,PTFI in-house vocabulary,required; in progress; complete,in progress,,,Controlled stage of the record's metadata curation.,'required' before curation; 'complete' once all fields are verified.
aliquot_id,Aliquot ID,Aliquot,Curator-assigned,uuid,unique,,UUID / GUID (RFC 9562),,PTFI:ALQ:9c752d22-b09a,,,"Persistent, globally unique identifier for the analytical aliquot, linking measurements back to sample and specimen.",Assigned by the curator.
aliquot_weight,Aliquot Weight,Aliquot,Required,float,unique,"milligrams [UO:0000022], positive",Unit Ontology (UO),,50; 100,,,Weight of the individual analytical aliquot in milligrams.,"Numeric, positive, where an aliquot was drawn for analysis."
